Time,UAV5,UAV4,UAV3,UAV2,UAV1,HeadingCos,HeadingSin,Cos sq,Sin sq,Sum sq,Root,Psy Order
307.796,0.270484,-0.15548,0.434249,-0.0233994,-0.168168,4.84438456713415,0.342299027094704,23.4680618342875,0.117168623949981,23.5852304582375,4.85646275165758,0.971292550331515
307.916,0.273023,-0.151659,0.447601,-0.0390874,-0.166869,4.83831578667871,0.346196400955191,23.4092996516244,0.119851948034327,23.5291515996588,4.8506856834533,0.970137136690659
307.996,0.274961,-0.147427,0.461719,-0.0488904,-0.166869,4.83179087075914,0.355137049674764,23.3462030187513,0.126122324051696,23.472325342803,4.84482459360533,0.968964918721066
308.076,0.276552,-0.141341,0.461719,-0.0668711,-0.165855,4.83136112379506,0.345740258042052,23.3420503085183,0.119536326030984,23.4615866345493,4.84371620086781,0.968743240173561
308.16,0.278491,-0.135369,0.465975,-0.0751635,-0.165191,4.82927041208089,0.349709741040419,23.321852713,0.122296902978557,23.4441496159785,4.84191590343931,0.968383180687862
308.268,0.280986,-0.127303,0.472989,-0.0873413,-0.164773,4.82554481329914,0.354634133805909,23.2858827451582,0.125765368860267,23.4116481140185,4.83855847479583,0.967711694959165
308.336,0.282288,-0.122968,0.47658,-0.0873413,-0.164656,4.82410156905178,0.363495156170545,23.2719559485278,0.132128728559449,23.4040846770873,4.83777683208799,0.967555366417597
308.428,0.284315,-0.117012,0.479092,-0.10796,-0.164671,4.82108009463306,0.353050252112865,23.2428132788671,0.124644480516957,23.3674577593841,4.83398983856856,0.966797967713712
308.556,0.286906,-0.10783,0.485191,-0.120495,-0.163933,4.81724419509187,0.358338856944915,23.2058416351463,0.128406736396588,23.3342483715429,4.83055362992099,0.966110725984199
308.596,0.287647,-0.104941,0.485191,-0.120495,-0.163933,4.81734100730322,0.361922155834984,23.2067743806452,0.130987646884242,23.3377620275295,4.83091730704734,0.966183461409467
308.716,0.290861,-0.101533,0.490369,-0.144768,-0.162948,4.81129913024423,0.349879247219807,23.1485993206888,0.122415487635099,23.2710148083239,4.82400402241996,0.964800804483992
308.816,0.293518,-0.0948355,0.495981,-0.162114,-0.160754,4.80623588743833,0.349055435180603,23.0999034057001,0.12183969682912,23.2217431025292,4.81889438590733,0.963778877181467
308.892,0.296176,-0.0887974,0.50313,-0.178532,-0.158062,4.80023697100133,0.350364354854866,23.0422749777681,0.122755181152867,23.1650301589209,4.81300635350931,0.962601270701861
308.952,0.297898,-0.0887974,0.50313,-0.178532,-0.155192,4.80018064554726,0.35484581218197,23.0417342298865,0.125915550423082,23.1676497803096,4.81327848563841,0.962655697127681
